LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
35m         Normal    Pulled                         pod/react-frontend-dev-79b7b6cc87-jk8m6        Successfully pulled image "nginx" in 2.904s (5.75s including waiting). Image size: 192226221 bytes.
35m         Normal    Started                        pod/react-frontend-dev-79b7b6cc87-jk8m6        Started container react-app
35m         Normal    Pulled                         pod/web-0                                      Successfully pulled image "nginx" in 2.86s (8.61s including waiting). Image size: 192226221 bytes.
35m         Normal    Created                        pod/web-0                                      Created container: nginx
35m         Normal    Pulling                        pod/pod-c                                      Pulling image "busybox"
35m         Normal    Started                        pod/web-0                                      Started container nginx
35m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 2.828s (6.978s including waiting). Image size: 4277910 bytes.
35m         Normal    Pulled                         pod/web-app-5c89984b6f-frm8t                   Container image "nginx:1.19" already present on machine
35m         Normal    Created                        pod/web-app-5c89984b6f-frm8t                   Created container: nginx
35m         Normal    RegisteredNode                 node/minikube                                  Node minikube event: Registered Node minikube in Controller
35m         Normal    Pulled                         pod/pod-c                                      Successfully pulled image "busybox" in 4.627s (5.867s including waiting). Image size: 4277910 bytes.
35m         Normal    Created                        pod/pod-c                                      Created container: dummy
35m         Normal    Pulling                        pod/react-frontend-dev-79b7b6cc87-5hjws        Pulling image "nginx"
35m         Normal    Pulled                         pod/postgres-db-dev-778b4db454-zgpdj           Container image "postgres:15" already present on machine
35m         Normal    Pulled                         pod/rolling-deployment-55b6d89599-8szt7        Container image "nginx:1.26" already present on machine
35m         Normal    Created                        pod/postgres-db-dev-778b4db454-zgpdj           Created container: postgres
35m         Normal    Started                        pod/pod-c                                      Started container dummy
35m         Normal    Started                        pod/web-app-5c89984b6f-frm8t                   Started container nginx
35m         Normal    Created                        pod/rolling-deployment-55b6d89599-8szt7        Created container: rolling-container
35m         Normal    Pulling                        pod/pod-i                                      Pulling image "busybox"
35m         Normal    Pulled                         pod/react-frontend-dev-79b7b6cc87-5hjws        Successfully pulled image "nginx" in 3.624s (3.624s including waiting). Image size: 192226221 bytes.
35m         Normal    Pulling                        pod/pod-d                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/nginx-deployment-86c57bc6b8-xcmgp          Pulling image "nginx"
35m         Normal    Created                        pod/react-frontend-dev-79b7b6cc87-5hjws        Created container: react-app
35m         Normal    Started                        pod/postgres-db-dev-778b4db454-zgpdj           Started container postgres
35m         Normal    Started                        pod/react-frontend-dev-79b7b6cc87-5hjws        Started container react-app
35m         Normal    Started                        pod/rolling-deployment-55b6d89599-8szt7        Started container rolling-container
35m         Normal    Pulling                        pod/standalone-nginx                           Pulling image "nginx"
35m         Normal    Pulled                         pod/pod-i                                      Successfully pulled image "busybox" in 6.402s (6.403s including waiting). Image size: 4277910 bytes.
35m         Normal    Pulling                        pod/api-backend-dev-b448f6d6d-8gzdz            Pulling image "nginx"
